price,price per m,area,location
785000,5377,146,Poznań Nowe Miasto Szczepankowo Chrzanowska
795000,6115,130,Kiekrz wielkopolskie
679000,3395,200,Tulce wielkopolskie
1500000,4192,357.8,Jerzykowo wielkopolskie
799000,4662,171.4,Pobiedziska wielkopolskie
799000,4839,165.13,Baranowo gm. Mosina wielkopolskie
547000,5602,97.64,Dachowa wielkopolskie
699000,8224,85,Modrakowa Luboń wielkopolskie
620000,5458,113.59,Poznań Nowe Miasto Szczepankowo Dobrepole
815000,5890,138.36,Poznań Nowe Miasto Szczepankowo
519000,5703,91,Koninko wielkopolskie
649000,5036,128.86,Bytkowo Rokietnica wielkopolskie
541000,4775,113.3,Dachowa wielkopolskie
456000,3962,115.1,Dachowa wielkopolskie
595000,7095,83.86,Skórzewo wielkopolskie
1190000,5409,220,Sady wielkopolskie
649000,5036,128.86,Aroniowa Bytkowo wielkopolskie
439000,5387,81.5,Noskowskiego Gruszczyn wielkopolskie
829999,7759,106.97,Poznań Jeżyce Strzeszyn Hezjoda
849000,6822,124.45,ul. Ogrodowa Skórzewo poznański wielkopolskie
1380000,6000,230,Czerwonak wielkopolskie
595000,5950,100,Sierosław wielkopolskie
440000,5701,77.18,Nowina Robakowo poznański wielkopolskie
480000,5601,85.7,Nowina Robakowo wielkopolskie
599000,6063,98.8,Palędzie wielkopolskie
490000,4898,100.04,Stęszew wielkopolskie
449000,5102,88,Rabowice wielkopolskie
850000,6343,134,Poznań Nowe Miasto Minikowo
1199000,5475,219,Rzepakowa Złotkowo wielkopolskie
720000,5854,123,Luboń wielkopolskie
720000,5854,123,Luboń wielkopolskie
1950000,7500,260,Kobylniki wielkopolskie
1299000,3711,350,Poznań Jeżyce Podolany
799000,8500,94,Lusowo Lusowo wielkopolskie
549000,5356,102.5,Daszewice wielkopolskie
517000,6229,83,Podlaska Luboń wielkopolskie
415000,5061,82,Karczewko wielkopolskie
6500000,11818,550,Poznań Stare Miasto Centrum
900000,5435,165.6,ul. Czereśniowa Rosnowo wielkopolskie
1250000,4167,300,Swarzędz Nowa Wieś Kaczorowskiego 4
1120000,5657,198,Robakowo wielkopolskie
449000,5476,82,Gortatowo wielkopolskie
549000,5356,102.5,Daszewice wielkopolskie
3500000,5036,695,Poznań Grunwald
517000,6236,82.9,Luboń wielkopolskie
,6236,87.43,Swarzędz wielkopolskie
2850000,9275,307.29,Poznań Grunwald
388000,6361,61,Kruszewnia wielkopolskie
1050000,8750,120,Główna wielkopolskie
879000,6762,130,Skórzewo wielkopolskie
635000,7216,88,Gowarzewo wielkopolskie
3230000,4486,720,Poznań Nowe Miasto Starołęka
1660000,5092,326,Poznań Stare Miasto Naramowice Mołdawska
549000,6033,91,Lusowo Lusowo wielkopolskie
749000,5201,144,Gruszczyn wielkopolskie
799000,7467,107,Poznań wielkopolskie
459000,5667,81,Gruszczyn wielkopolskie
549000,5364,102.35,Daszewice wielkopolskie
595000,6555,90.77,Sierosław wielkopolskie
595000,6555,90.77,Sierosław wielkopolskie
595000,6784,87.71,Sierosław poznański wielkopolskie
555000,5177,107.21,Sierosław wielkopolskie
555000,5222,106.29,Sierosław wielkopolskie
555000,5222,106.29,Sierosław wielkopolskie
949000,5130,185,Chyby wielkopolskie
1200000,5000,240,Swarzędz Centrum
399999,3053,131,Dachowa wielkopolskie
799000,1998,400,Poznań Nowe Miasto Krzesiny Jarosławska
549000,5577,98.44,Tulce wielkopolskie
549000,5577,98.44,Komorniki wielkopolskie
870000,2973,292.6,Poznań Jeżyce Stanisława Latwisa
1490000,7720,193,Poznań Nowe Miasto os. Warszawskie
1270000,9922,128,Gowarzewo wielkopolskie
1500000,5000,300,Skórzewo wielkopolskie
1100000,4762,231,Poznań Wilda Dębiec
570000,7125,80,Poznań Stare Miasto Morasko
795000,5933,134,Baranowo gm. Mosina wielkopolskie
795000,5933,134,Baranowo gm. Mosina wielkopolskie
795000,5933,134,Baranowo gm. Tarnowo Podgórne wielkopolskie
980000,2800,350,Wierzyce wielkopolskie
1290000,8063,160,Poznań Nowe Miasto Warszawskie Modlińska
